排名,客户ID,流失概率,风险等级,建议挽留措施,报告生成时间,主要风险因素,在网时长(月),月消费(元),累计消费(元),合同类型,网络服务,支付方式,性别,流失原因分析
1,7216-EWTRS,94.8%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
2,1699-TLDLZ,93.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
3,4800-VHZKI,93.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差
4,9667-TKTVZ,93.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留
5,2380-DAMQP,93.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
6,9420-LOJKX,92.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
7,9633-DENPU,92.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留
8,5553-AOINX,92.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
9,3549-ZTMNH,92.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留
10,4701-MLJPN,91.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留
11,1324-NLTJE,91.9%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,55.0,757.1,Month-to-month,DSL,Credit card (automatic),Female,在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；流失概率极高，需立即挽留
12,6980-CDGFC,91.7%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,67,20.85,1327.4,One year,No,Bank transfer (automatic),Female,年付合同即将到期，需重点关注；无网络服务，增值业务少；流失概率极高，需立即挽留
13,3415-TAILE,91.6%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,65.7,134.35,Month-to-month,DSL,Mailed check,Female,月租费用中等偏高(¥66/月)；在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差
14,4607-CHPCA,91.5%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,25,90.4,2178.6,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥90/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
15,7402-PWYJJ,91.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,53,91.15,4862.5,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥91/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
16,2868-MZAGQ,91.3%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,79.25,79.25,Month-to-month,Fiber optic,Electronic check,Male,月租费用中等偏高(¥79/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
17,0702-PGIBZ,91.1%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,4,101.7,364.55,Month-to-month,Fiber optic,Electronic check,Male,月租费用偏高(¥102/月)；在网时间较短(4个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高
18,1698-XFZCI,91.0%,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,61,107.75,6521.9,One year,Fiber optic,Electronic check,Male,月租费用偏高(¥108/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高
